Name,test-train seconds,precision,recall,clf,feature list,best features,feature scores,best parameters,best estimator
Old Email: Kneighbors 3 distance,1.87,0.396,0.322,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance')","['poi', 'bonus', 'salary', 'from_poi_to_this_person', 'from_this_person_to_poi', 'from_messages', 'to_messages']",,,,
Old Email: Kneighbors 3 uniform,2.226,0.569,0.317,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')","['poi', 'bonus', 'salary', 'from_poi_to_this_person', 'from_this_person_to_poi', 'from_messages', 'to_messages']",,,,
Old Email: Minmax Kneighbors 3 distance,2.316,0.394,0.232,"Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('kn1', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance'))])","['poi', 'bonus', 'salary', 'from_poi_to_this_person', 'from_this_person_to_poi', 'from_messages', 'to_messages']",,,,
New Email: Kneighbors 3 distance,2.024,0.416,0.327,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance')","['poi', 'bonus', 'salary', 'from_poi_rate', 'to_poi_rate']",,,,
New Email: Kneighbors 3 uniform,1.837,0.593,0.319,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='uniform')","['poi', 'bonus', 'salary', 'from_poi_rate', 'to_poi_rate']",,,,
New Email: Minmax Kneighbors 3 distance,2.405,0.364,0.183,"Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('kn1', KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=3, p=2,
           weights='distance'))])","['poi', 'bonus', 'salary', 'from_poi_rate', 'to_poi_rate']",,,,
Old Email: Minmax Linear SVC,1.392,0,0,"Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('classifier', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])","['poi', 'bonus', 'salary', 'from_poi_to_this_person', 'from_this_person_to_poi', 'from_messages', 'to_messages']",,,,
New Email: Minmax Linear SVC,1.308,0,0,"Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('classifier', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])","['poi', 'bonus', 'salary', 'from_poi_rate', 'to_poi_rate']",,,,
Full feature: Gridseach Minmax SelectK SVC,824.848,0.293,0.028,"GridSearchCV(cv=None, error_score='raise',
       estimator=Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('feature_select', SelectKBest(k=5, score_func=<function f_classif at 0x0000000008F823C8>)), ('classifier', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'feature_select__k': [3, 4, 5, 6, 7], 'classifier__kernel': ['linear', 'rbf'], 'classifier__C': [1, 5, 25]},
       pre_dispatch='2*n_jobs', refit=True, return_train_score=True,
       scoring=None, verbose=0)","['poi', 'bonus', 'deferral_payments', 'deferred_income', 'director_fees', 'exercised_stock_options', 'expenses', 'from_messages', 'from_this_person_to_poi', 'from_poi_to_this_person', 'from_poi_rate', 'long_term_incentive', 'other', 'restricted_stock', 'restricted_stock_deferred', 'salary', 'shared_receipt_with_poi', 'to_messages', 'to_poi_rate', 'total_payments', 'total_stock_value']","['exercised_stock_options', 'salary', 'total_stock_value']","{'salary': 11.196, 'to_messages': 0.685, 'deferral_payments': 0.259, 'to_poi_rate': 8.243, 'long_term_incentive': 2.611, 'bonus': 11.129, 'restricted_stock_deferred': 0.763, 'total_stock_value': 14.691, 'expenses': 5.906, 'from_poi_to_this_person': 3.591, 'exercised_stock_options': 13.714, 'from_messages': 0.171, 'other': 0.014, 'from_this_person_to_poi': 2.144, 'total_payments': 2.768, 'deferred_income': 5.304, 'shared_receipt_with_poi': 5.495, 'restricted_stock': 6.577, 'director_fees': 1.796, 'from_poi_rate': 2.349}","{'feature_select__k': 3, 'classifier__kernel': 'linear', 'classifier__C': 1}","Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('feature_select', SelectKBest(k=3, score_func=<function f_classif at 0x0000000008F823C8>)), ('classifier', SVC(C=1, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])"
Full feature: Gridseach Minmax SelectK SVC precision,878.489,0.417,0.061,"GridSearchCV(cv=None, error_score='raise',
       estimator=Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('feature_select', SelectKBest(k=5, score_func=<function f_classif at 0x0000000008F823C8>)), ('classifier', SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))]),
       fit_params={}, iid=True, n_jobs=1,
       param_grid={'feature_select__k': [3, 4, 5, 6, 7], 'classifier__kernel': ['linear', 'rbf'], 'classifier__C': [1, 5, 25]},
       pre_dispatch='2*n_jobs', refit=True, return_train_score=True,
       scoring=make_scorer(precision_score), verbose=0)","['poi', 'bonus', 'deferral_payments', 'deferred_income', 'director_fees', 'exercised_stock_options', 'expenses', 'from_messages', 'from_this_person_to_poi', 'from_poi_to_this_person', 'from_poi_rate', 'long_term_incentive', 'other', 'restricted_stock', 'restricted_stock_deferred', 'salary', 'shared_receipt_with_poi', 'to_messages', 'to_poi_rate', 'total_payments', 'total_stock_value']","['bonus', 'exercised_stock_options', 'salary', 'to_poi_rate', 'total_stock_value']","{'salary': 11.196, 'to_messages': 0.685, 'deferral_payments': 0.259, 'to_poi_rate': 8.243, 'long_term_incentive': 2.611, 'bonus': 11.129, 'restricted_stock_deferred': 0.763, 'total_stock_value': 14.691, 'expenses': 5.906, 'from_poi_to_this_person': 3.591, 'exercised_stock_options': 13.714, 'from_messages': 0.171, 'other': 0.014, 'from_this_person_to_poi': 2.144, 'total_payments': 2.768, 'deferred_income': 5.304, 'shared_receipt_with_poi': 5.495, 'restricted_stock': 6.577, 'director_fees': 1.796, 'from_poi_rate': 2.349}","{'feature_select__k': 5, 'classifier__kernel': 'linear', 'classifier__C': 25}","Pipeline(steps=[('minmax', MinMaxScaler(copy=False, feature_range=(0, 1))), ('feature_select', SelectKBest(k=5, score_func=<function f_classif at 0x0000000008F823C8>)), ('classifier', SVC(C=25, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape=None, degree=3, gamma='auto', kernel='linear',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))])"
